CodName,Horarios,Dia
T1,14:00 - 15:40,Segunda
T2,15:50 - 17:30,Segunda
T3,17:40 - 19:20,Segunda
T4,19:30 - 21:10,Segunda
T5,21:10 - 22:00,Segunda
T6,14:00 - 15:40,Terça
T7,15:50 - 17:30,Terça
T8,17:40 - 19:20,Terça
T9,19:30 - 21:10,Terça
T10,21:10 - 22:00,Terça
T11,14:00 - 15:40,Quarta
T12,15:50 - 17:30,Quarta
T13,17:40 - 19:20,Quarta
T14,19:30 - 21:10,Quarta
T15,21:10 - 22:00,Quarta
T16,14:00 - 15:40,Quinta
T17,15:50 - 17:30,Quinta
T18,17:40 - 19:20,Quinta
T19,19:30 - 21:10,Quinta
T20,21:10 - 22:00,Quinta
T21,14:00 - 15:40,Sexta
T22,15:50 - 17:30,Sexta
T23,17:40 - 19:20,Sexta
T24,19:30 - 21:10,Sexta
T25,21:10 - 22:00,Sexta